LAT_LON,ZIP_CODE_IMPUTED
"40.76051, -73.82914",11354
"40.846153, -73.932335",10033
"40.884014, -73.8791",10467
"40.63651, -74.133",10302
"40.723347, -73.939316",11211
"40.865067, -73.9281",10040
"40.667908, -73.76281",11413
"40.741917, -73.823425",11355
"40.825115, -73.92541",10451
"40.744923, -73.83709",11355
"40.7375, -73.93385",11101
"40.671032, -73.93927",11213
"40.641205, -73.877205",11239
"40.60365, -73.99204",11214
"40.74947, -73.85056",11368
"40.75597, -73.91262",11103
"40.607838, -74.0872",10304
"40.859444, -73.915985",10453
"40.679276, -73.92906",11233
"40.752445, -73.96461",10022
"40.690174, -73.95527",11205
"40.673588, -73.73351",11422
"40.62103, -74.16894",10314
"40.69613, -73.987114",11201
"40.80964, -73.947845",10027
"40.808243, -73.92785",10454
"40.83398, -73.82635",10465
"40.631577, -74.185005",10303
"40.83611, -73.92238",10452
"40.732613, -73.925156",11211
"40.79611, -73.96145",10025
"40.667385, -73.88709",11207
"40.61427, -74.156654",10314
"40.743214, -73.95135",11109
"40.626328, -74.13132",10310
"40.651863, -73.86536",11239
"40.768166, -73.83749",11354
"40.811367, -73.95402",10025
"40.843994, -73.89752",10457
"40.64511, -73.874886",11239
"40.735283, -73.85984",11374
"40.805737, -73.94065",10035
"40.684513, -73.909386",11207
"40.845352, -73.92821",10033
"40.582233, -74.16907",10312
"40.82733, -73.8498",10473
"40.70455, -73.91662",11237
"40.696033, -73.984535",11242
"40.59742, -74.06836",10305
"40.596004, -74.06788",10305
"40.782463, -73.97883",10024
"40.80777, -73.94549",10037
"40.596325, -73.76673",11691
"40.73873, -73.81428",11367
"40.634846, -74.15177",10303
"40.672886, -73.99922",11232
"40.556618, -74.203995",10309
"40.664055, -73.9427",11213
"40.828346, -73.94906",10031
"40.880466, -73.88384",10467
"40.74273, -73.95412",11101
"40.67897, -73.75985",11413
"40.709747, -73.82057",11415
"40.61855, -73.9395",11234
"40.666737, -73.78628",11434
"40.759357, -73.9582",10155
"40.716476, -73.99283",10002
"40.834187, -73.909584",10456
"40.578556, -74.1696",10314
"40.585037, -73.95645",11235
"40.606335, -74.18019",10314
